user_id,tipo_usuario,timestamp,valor_brl,wallet_destino,hora,eh_fracionamento,data,acima_limite_bcb,madrugada,c1_flag,c1_razoes,wallets_unicas,data_ts,n_transacoes_dia,data_com_lag,irf_contexto,entropia_wallets,c2_score_anomalia,c2_classificacao,c3_prompt_llm,c3_resposta_llm_bruta,c3_veredito,c3_justificativa,c3_rascunho_coaf,c1_flag_int,score_final,alerta_final,explicacao_xai
SUSPEITO_009,C_suspeito_fracionamento,2024-01-01 04:11:00,8521.6,0x62EFF2,4,False,2024-01-01,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,1,2024-01-01,1,2023-12-18,37.04,4.567897224735515,64.1,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: SUSPEITO_009
- Valor: R$ 8,521.60
- Frequencia hoje: 1 transacoes
- Entropia de Wallets: 4.57 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 64.1/100
- Flags BCB ativas: R4:fracionamento_suspeito|R5:madrugada_valor_alto
- IRF (Indice de Risco Fiscal no dia): 37.04/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,54.5,AMARELO,Regras BCB Violadas (R4:fracionamento_suspeito|R5:madrugada_valor_alto) | Desvio comportamental moderado (Isolation Forest > 40)
INSTITUCIONAL_011,B_institucional_monitorar,2024-01-01 11:27:00,327961.27,0x20F732,11,False,2024-01-01,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-01,1,2023-12-18,37.04,1.5814282635755266,56.0,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: INSTITUCIONAL_011
- Valor: R$ 327,961.27
- Frequencia hoje: 1 transacoes
- Entropia de Wallets: 1.58 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 56.0/100
- Flags BCB ativas: R1:acima_limite_bcb|R2:volume_30d_acima_50k
- IRF (Indice de Risco Fiscal no dia): 37.04/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,49.6,AMARELO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Desvio comportamental moderado (Isolation Forest > 40)
INSTITUCIONAL_008,B_institucional_monitorar,2024-01-01 13:27:00,290501.78,0x4DF11E,13,False,2024-01-01,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-01,1,2023-12-18,37.04,2.7952888577868493,36.3,normal,,,,,,1,37.8,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0058,A_poupador_legitimo,2024-01-01 16:04:00,1952.98,0xCA7474,16,False,2024-01-01,False,False,False,,1,2024-01-01,1,2023-12-18,37.04,-1.4426951595367387e-09,24.8,normal,,,,,,0,14.9,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0016,A_poupador_legitimo,2024-01-01 20:48:00,3179.46,0x43AAEC,20,False,2024-01-01,False,False,False,,1,2024-01-01,1,2023-12-18,37.04,-1.4426951595367387e-09,32.2,normal,,,,,,0,19.3,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_007,C_suspeito_fracionamento,2024-01-02 01:36:00,9426.01,0xC82887,1,False,2024-01-02,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,1,2024-01-02,1,2023-12-19,31.84,4.902099602191403,38.4,normal,,,,,,1,39.0,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_008,C_suspeito_fracionamento,2024-01-02 02:36:00,8828.63,0xF316A5,2,False,2024-01-02,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,1,2024-01-02,1,2023-12-19,31.84,3.9161950598074506,49.3,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: SUSPEITO_008
- Valor: R$ 8,828.63
- Frequencia hoje: 1 transacoes
- Entropia de Wallets: 3.92 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 49.3/100
- Flags BCB ativas: R4:fracionamento_suspeito|R5:madrugada_valor_alto
- IRF (Indice de Risco Fiscal no dia): 31.84/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,45.6,AMARELO,Regras BCB Violadas (R4:fracionamento_suspeito|R5:madrugada_valor_alto) | Desvio comportamental moderado (Isolation Forest > 40)
INSTITUCIONAL_000,B_institucional_monitorar,2024-01-02 08:32:00,489491.99,0x885662,8,False,2024-01-02,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-02,1,2023-12-19,31.84,2.545147450049116,38.9,normal,,,,,,1,39.3,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_014,B_institucional_monitorar,2024-01-02 09:43:00,131646.39,0xBFD30E,9,False,2024-01-02,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-02,1,2023-12-19,31.84,2.766371420026039,23.2,normal,,,,,,1,29.9,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_001,B_institucional_monitorar,2024-01-02 12:22:00,364081.91,0x500518,12,False,2024-01-02,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-02,1,2023-12-19,31.84,1.5807920249573275,34.6,normal,,,,,,1,36.8,VERDE,Transação alinhada ao perfil histórico do cliente.
